WB_ID,WBRCHCODE,Noutput,EC_TN_LOAD_outflow,diffTN,perDiffTN,EC_TOT_CFS,CFS,diffCFS
6261896,2.0301E+12,1870.835928,70878.3448,69008,36.89,1.33036,1.33036,0
6261906,2.0301E+12,6705.314783,102461.7382,95756,14.28,6.20477,6.20477,0
6248914,2.0301E+12,1693.113657,2652.734114,960,0.57,1.54438,0.95469,0.59
7730629,1.10001E+12,449.3758132,677.4328029,228,0.51,0.62332,0.4069,0.22
6229634,2.0301E+12,1808.483693,915.8696173,893,0.49,1.9172,3.24622,1.33
8100279,2.0501E+12,10150.94819,6029.491815,4121,0.41,10.86137,20.74012,9.88
8111469,2.0501E+12,135.5784547,112.3966855,23,0.17,0.46927,0.55079,0.08
9312477,1.06E+12,703.8241078,792.5790781,89,0.13,7.12911,4.52362,2.61
5195294,1.05E+12,75352.35181,66127.99894,9224,0.12,837.19167,889.0105,51.82
4720503,2.05031E+12,21260.95023,18801.18218,2460,0.12,21.04554,22.4911,1.45
8466183,2.0801E+12,3388.702903,3030.393633,358,0.11,4.40275,5.5415,1.14
7717850,1.10001E+12,1999472.521,1819776.266,179696,0.09,2423.81006,2684.38498,260.57
8606113,2.08021E+12,1152.393508,1246.421734,94,0.08,2.78292,2.6834,0.1
6176762,1.1E+12,1706.836115,1804.776148,98,0.06,1.77048,1.64218,0.13
4148662,2.0401E+12,179.9271556,169.8626903,10,0.06,0.44708,0.47547,0.03
4489588,2.0402E+12,2383.858357,2436.37487,53,0.02,3.28604,3.23425,0.05
8126199,2.0502E+12,163096.4008,161763.9404,1332,0.01,404.00346,408.69577,4.69
816901,1.02E+12,1360.243274,1367.407594,7,0.01,5.5876,5.3841,0.2
9495744,2.0302E+12,6999.63008,6903.364156,96,0.01,3.27436,3.408,0.13
9479926,2.04021E+12,1756.485963,1773.212962,17,0.01,0.82976,0.81632,0.01
5875065,1.09E+12,465.9166758,461.8249568,4,0.01,0.8156,0.80443,0.01
9440979,2.0403E+12,344.6315423,342.2805308,2,0.01,0.7978,0.79733,0
8605969,2.08021E+12,27040.26614,27011.4066,29,0,60.6817,60.55058,0.13
2741534,2.0401E+12,3008.692949,3014.946408,6,0,3.28663,3.20937,0.08
1720365,1.02E+12,123990.1597,124033.5542,43,0,668.88083,668.83541,0.05
9527649,2.01E+12,70081.28418,70083.71481,2,0,161.40009,161.35605,0.04
4492782,2.0402E+12,9818.418159,9840.603098,22,0,9.5326,9.51107,0.02
5875037,1.09E+12,2670.485942,2671.22045,1,0,4.48965,4.46872,0.02
4688557,2.0503E+12,224.1836016,225.0717047,1,0,0.83375,0.82197,0.01
5875191,1.09E+12,1960.835855,1964.225722,3,0,6.40132,6.38807,0.01
4493682,2.0402E+12,3326.123177,3312.813003,13,0,2.55902,2.55162,0.01
